Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,macd_p1_days,macd_p2_days,macd_p3_days,macd_t1_days,macd_t2_days,macd_t3_days,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2018-03-27,0.18922,,,,,0.1903,0.1903,0.1903,0.1903,0.1903,0.1903,0.0,0.0,0.0,,,-4.87,4.44,-9.57,14.71,-0.51,20.1,-0.86,3.9,7.0,9.0,26.0,27.0,7.0,13.0,5.0,13.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,42360300,0.0,0.0,4236030000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2018-03-28,0.18708,,,,0.193,0.19052,0.19041,0.19036,0.19033,0.19073,0.19051,0.00022,4e-05,0.00018,,,-3.78,4.44,-9.57,14.71,-0.51,20.1,-0.86,3.9,6.0,9.0,26.0,27.0,7.0,13.0,5.0,13.0,0.0028,0.0,,,,,,,,,,,,,,,,0.0008,0.0016,0.0019,0.0011,0.0008,0.0003,1,1,1,,0.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.193,0.0,0.0,0.0,0.0,0.0,2018-03-28,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,42360300,3394700,0.0,4236030000.0,8.01,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,,
2018-03-29,0.185,,,,,0.19027,0.19029,0.19029,0.1903,0.1902,0.19027,-7e-05,2e-05,-9e-05,,,-2.7,4.44,-9.57,14.71,-0.51,20.1,-0.86,3.9,5.0,9.0,26.0,27.0,7.0,13.0,5.0,13.0,-0.0,-0.0058,,,,,,,,,,,,,,,,-0.0001,-0.0002,-0.0003,-0.0002,-0.0001,-0.0001,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.193,0.0,0.0,0.0,0.0,0.0,2018-03-28,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,42360300,3394700,3986300,4236030000.0,8.01,8.71,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
2018-03-30,0.18306,,,0.173,,0.18892,0.1896,0.18995,0.19012,0.18751,0.18897,-0.00146,-0.00027,-0.00118,,,-1.67,4.44,-9.57,14.71,-0.51,20.1,-0.86,3.9,4.0,9.0,26.0,27.0,7.0,13.0,5.0,13.0,-0.0,-0.0146,,,,,,,,,,,,,,,,-0.0052,-0.0103,-0.012,-0.0068,-0.0051,-0.0017,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.193,0.0,0.0,0.173,0.0,0.0,2018-03-28,1999-01-01,1999-01-01,2018-03-30,1999-01-01,1999-01-01,3394700,3986300,11279400,8.01,8.71,-62.49,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,-11279400.0,,,,,,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
2018-04-02,0.18148,,,,,0.18835,0.18928,0.18978,0.19004,0.18659,0.18842,-0.00183,-0.00058,-0.00124,,,-0.81,4.44,-9.57,14.71,-0.51,20.1,-0.86,3.9,3.0,9.0,26.0,27.0,7.0,13.0,5.0,13.0,0.0088,0.0,,,,,,,,,,,,,,,,-0.0076,-0.0143,-0.0169,-0.0093,-0.0067,-0.0026,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.193,0.0,0.0,0.173,0.0,0.0,2018-03-28,1999-01-01,1999-01-01,2018-03-30,1999-01-01,1999-01-01,3986300,11279400,6195500,8.71,-62.49,15.01,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6195500.0,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
2018-04-03,0.18038,,,,0.184,0.18804,0.18909,0.18967,0.18998,0.18625,0.18812,-0.00187,-0.00084,-0.00103,,,-0.21,4.44,-9.57,14.71,-0.51,20.1,-0.86,3.9,2.0,9.0,26.0,27.0,7.0,13.0,5.0,13.0,0.0029,0.0,,,,,,,,,,,,,,,,-0.0089,-0.0163,-0.0194,-0.0105,-0.0074,-0.0031,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.184,0.193,0.0,0.173,0.0,0.0,2018-04-03,2018-03-28,1999-01-01,2018-03-30,1999-01-01,1999-01-01,11279400,6195500,5629000,-62.49,15.01,7.65,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
2018-04-04,0.17985,,,0.173,,0.18686,0.18845,0.18934,0.18981,0.18416,0.18698,-0.00281,-0.00124,-0.00158,,,0.08,4.44,-9.57,14.71,-0.51,20.1,-0.86,3.9,1.0,9.0,26.0,27.0,7.0,13.0,5.0,13.0,-0.0,-0.0117,,,,,,,,,,,,37.26383,,,,-0.0136,-0.0248,-0.0295,-0.0159,-0.0112,-0.0047,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.184,0.193,0.0,0.173,0.173,0.0,2018-04-03,2018-03-28,1999-01-01,2018-04-04,2018-03-30,1999-01-01,6195500,5629000,6165600,15.01,7.65,-22.13,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
2018-04-05,0.17998,0.18,,,,0.186,0.18794,0.18906,0.18967,0.18285,0.18613,-0.00329,-0.00165,-0.00164,,,4.46,-9.57,14.71,-0.51,20.1,-0.86,3.9,-28.75,9.0,26.0,27.0,7.0,13.0,5.0,13.0,51.0,0.0029,0.0,,,,,,,,,,,,42.44306,,,42.443,-0.0173,-0.0306,-0.0367,-0.0194,-0.0133,-0.0061,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.18,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2018-04-05,1999-01-01,1999-01-01,0.184,0.193,0.0,0.173,0.173,0.0,2018-04-03,2018-03-28,1999-01-01,2018-04-04,2018-03-30,1999-01-01,5629000,6165600,1542800,7.65,-22.13,-25.86,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,42.443,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,2018-04-05,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
2018-04-06,0.18075,,,,,0.1852,0.18746,0.1888,0.18953,0.18173,0.18535,-0.00362,-0.00204,-0.00158,,,4.01,-9.57,14.71,-0.51,20.1,-0.86,3.9,-28.75,8.0,26.0,27.0,7.0,13.0,5.0,13.0,51.0,0.0,0.0,,,,,,,,,,,,38.65519,39.45403,38.655,,-0.0207,-0.036,-0.0433,-0.0226,-0.0153,-0.0073,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.18,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2018-04-05,1999-01-01,1999-01-01,0.184,0.193,0.0,0.173,0.173,0.0,2018-04-03,2018-03-28,1999-01-01,2018-04-04,2018-03-30,1999-01-01,6165600,1542800,1406000,-22.13,-25.86,-31.66,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,42.443,0.0,0.0,38.655,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,2018-04-05,1999-01-01,1999-01-01,2018-04-06,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
2018-04-09,0.18204,,,,,0.18446,0.18699,0.18854,0.18939,0.18079,0.18463,-0.00384,-0.0024,-0.00144,,,3.27,-9.57,14.71,-0.51,20.1,-0.86,3.9,-28.75,7.0,26.0,27.0,7.0,13.0,5.0,13.0,51.0,0.0,0.0,,,,,,,,,,,,44.31818,41.80548,,,-0.024,-0.0408,-0.0493,-0.0253,-0.0168,-0.0085,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.18,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2018-04-05,1999-01-01,1999-01-01,0.184,0.193,0.0,0.173,0.173,0.0,2018-04-03,2018-03-28,1999-01-01,2018-04-04,2018-03-30,1999-01-01,1542800,1406000,1902500,-25.86,-31.66,-46.77,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,42.443,0.0,0.0,38.655,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,2018-04-05,1999-01-01,1999-01-01,2018-04-06,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bull,Life.Bear,,
