Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,macd_p1_days,macd_p2_days,macd_p3_days,macd_t1_days,macd_t2_days,macd_t3_days,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2016-04-01,0.74832,,,,,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,,,-3.12,8.28,-19.11,1.73,-6.81,9.8,-24.05,3.39,61.0,33.0,339.0,68.0,75.0,156.0,193.0,40.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,19600.0,0.0,0.0,1960000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2016-04-06,0.74511,,,0.72,,0.74769,0.74882,0.74941,0.7497,0.74538,0.74778,-0.00239,-0.00048,-0.00191,,,-2.7,8.28,-19.11,1.73,-6.81,9.8,-24.05,3.39,58.0,33.0,339.0,68.0,75.0,156.0,193.0,40.0,-0.0,-0.03,,,,,,,,,,,,,,,,-0.0088,-0.0172,-0.0201,-0.0113,-0.0084,-0.0029,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.72,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2016-04-06,1999-01-01,1999-01-01,0.0,19600.0,9600.0,0.0,1960000.0,48.98,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2016-04-07,0.74207,,,,0.75,0.74787,0.74887,0.74942,0.7497,0.74609,0.74794,-0.00185,-0.00075,-0.0011,,,-2.3,8.28,-19.11,1.73,-6.81,9.8,-24.05,3.39,57.0,33.0,339.0,68.0,75.0,156.0,193.0,40.0,0.03,0.0,,,,,,,,,,,,,,,,-0.0083,-0.0155,-0.0183,-0.01,-0.0072,-0.0028,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.75,0.0,0.0,0.72,0.0,0.0,2016-04-07,1999-01-01,1999-01-01,2016-04-06,1999-01-01,1999-01-01,19600.0,9600.0,32000.0,1960000.0,48.98,109.59,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,32000.0,,,,,,,p2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2016-04-11,0.73901,,,,,0.74726,0.74852,0.74923,0.74961,0.74516,0.74735,-0.0022,-0.00104,-0.00116,,,-1.9,8.28,-19.11,1.73,-6.81,9.8,-24.05,3.39,55.0,33.0,339.0,68.0,75.0,156.0,193.0,40.0,-0.0,-0.01,,,,,,,,,,,,,,,,-0.0109,-0.0197,-0.0235,-0.0126,-0.0088,-0.0038,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.75,0.0,0.0,0.72,0.0,0.0,2016-04-07,1999-01-01,1999-01-01,2016-04-06,1999-01-01,1999-01-01,9600.0,32000.0,80000.0,48.98,109.59,98.69,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,p2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2016-05-13,0.73581,,,,,0.74671,0.74819,0.74905,0.74951,0.74436,0.74681,-0.00245,-0.00132,-0.00112,,,-1.47,8.28,-19.11,1.73,-6.81,9.8,-24.05,3.39,31.0,33.0,339.0,68.0,75.0,156.0,193.0,40.0,0.0,0.0,,,,,,,,,,,,,,,,-0.0132,-0.0234,-0.028,-0.0148,-0.0102,-0.0046,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.75,0.0,0.0,0.72,0.0,0.0,2016-04-07,1999-01-01,1999-01-01,2016-04-06,1999-01-01,1999-01-01,32000.0,80000.0,10000.0,109.59,98.69,0.33,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,p2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2016-05-16,0.73249,,,,,0.74619,0.74787,0.74887,0.74942,0.74369,0.7463,-0.00261,-0.00158,-0.00103,,,-1.02,8.28,-19.11,1.73,-6.81,9.8,-24.05,3.39,30.0,33.0,339.0,68.0,75.0,156.0,193.0,40.0,0.0,0.0,,,,,,,,,,,,,,,,-0.0155,-0.0268,-0.0323,-0.0168,-0.0113,-0.0055,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.75,0.0,0.0,0.72,0.0,0.0,2016-04-07,1999-01-01,1999-01-01,2016-04-06,1999-01-01,1999-01-01,80000.0,10000.0,20000.0,98.69,0.33,-9.84,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,p2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2016-05-23,0.72936,,,,,0.74418,0.74677,0.7483,0.74912,0.74005,0.74436,-0.00431,-0.00213,-0.00218,,,-0.6,8.28,-19.11,1.73,-6.81,9.8,-24.05,3.39,25.0,33.0,339.0,68.0,75.0,156.0,193.0,40.0,-0.0,-0.02,,,,,,,,,,,,44.44444,,,,-0.0235,-0.0412,-0.0494,-0.0259,-0.0177,-0.0082,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.75,0.0,0.0,0.72,0.0,0.0,2016-04-07,1999-01-01,1999-01-01,2016-04-06,1999-01-01,1999-01-01,10000.0,20000.0,10000.0,0.33,-9.84,-63.64,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,-10000.0,,,,p2p,n2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2016-06-02,0.72671,,,0.71,,0.74155,0.74533,0.74754,0.74874,0.73542,0.74181,-0.00639,-0.00298,-0.00341,-0.006,,-0.23,8.28,-19.11,1.73,-6.81,9.8,-24.05,3.39,17.0,33.0,339.0,68.0,75.0,156.0,193.0,40.0,-0.0,-0.01,,,,,,,,,,,,22.22222,,22.222,,-0.0341,-0.0599,-0.0719,-0.0378,-0.0258,-0.012,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.75,0.0,0.0,0.71,0.72,0.0,2016-04-07,1999-01-01,1999-01-01,2016-06-02,2016-04-06,1999-01-01,20000.0,10000.0,20000.0,-9.84,-63.64,25.0,0.0,0.0,0.0,-0.006,100.0,100.0,0.0,0.0,0.0,-0.00298,100.0,100.0,0.0,0.0,0.0,22.222,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2016-06-02,1999-01-01,1999-01-01,0,0,0,6362,0,0,1999-01-01,1999-01-01,1999-01-01,2016-06-02,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-20000.0,,,,,,p2p,n2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2016-06-07,0.72491,,,,0.77,0.74374,0.7463,0.74798,0.74895,0.74074,0.7439,-0.00316,-0.00301,-0.00014,,-0.003,0.01,8.28,-19.11,1.73,-6.81,9.8,-24.05,3.39,14.0,33.0,339.0,68.0,75.0,156.0,193.0,40.0,0.06,0.0,,,,,,,,,,,,33.33333,33.33333,,,-0.0265,-0.0424,-0.0521,-0.0256,-0.0159,-0.0097,1,1,1,,,,,,,-0.15,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.77,0.75,0.0,0.71,0.72,0.0,2016-06-07,2016-04-07,1999-01-01,2016-06-02,2016-04-06,1999-01-01,10000.0,20000.0,1000.0,-63.64,25.0,-38.0,-0.003,0.0,0.0,-0.006,100.0,100.0,-0.00301,0.0,0.0,-0.00298,100.0,100.0,0.0,0.0,0.0,22.222,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2016-06-07,1999-01-01,1999-01-01,2016-06-02,1999-01-01,1999-01-01,6367,0,0,6362,0,0,1999-01-01,1999-01-01,1999-01-01,2016-06-02,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,1000.0,,,p2p,n2n,n2p,p2n,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,,
2016-06-27,0.72489,0.725,,,,0.74037,0.74448,0.74703,0.74846,0.73448,0.74065,-0.00617,-0.00365,-0.00253,,,8.29,-19.11,1.73,-6.81,9.8,-24.05,3.39,-18.11,33.0,339.0,68.0,75.0,156.0,193.0,40.0,131.0,-0.0,-0.07,,,,,,,,,,,,33.33333,29.62963,,,-0.0398,-0.0666,-0.0809,-0.0411,-0.0268,-0.0143,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.725,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2016-06-27,1999-01-01,1999-01-01,0.77,0.75,0.0,0.71,0.72,0.0,2016-06-07,2016-04-07,1999-01-01,2016-06-02,2016-04-06,1999-01-01,20000.0,1000.0,10000.0,25.0,-38.0,0.0,-0.003,0.0,0.0,-0.006,100.0,100.0,-0.00301,0.0,0.0,-0.00298,100.0,100.0,0.0,0.0,0.0,22.222,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,2016-06-07,1999-01-01,1999-01-01,2016-06-02,1999-01-01,1999-01-01,6367,0,0,6362,0,0,1999-01-01,1999-01-01,1999-01-01,2016-06-02,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,p2p,n2n,n2p,p2n,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.Bear,,
