Date,Counter,Open,High,Low,Close,AdjClose,Volume,Dividends,StockSplits,macd_short,macd_long,MACD,MACD_signal,macd_distance,macd_troughs,macd_peaks,ma25,ma50,ma100,ma200,smooth_close,smooth_troughs,smooth_peaks,smooth_distance,close_troughs,close_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,slow_troughs,slow_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,v3,v2,v1,v3p,v2p,v1p,rise_macd,bull_macd,bear_macd,bull_rsi,bear_rsi,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,sp_high,sp_vhigh,sp_uhigh,st_high,st_vhigh,st_uhigh,sp_low,sp_vlow,sp_ulow,st_low,st_vlow,st_ulow,fp_high,fp_vhigh,fp_uhigh,ft_high,ft_vhigh,ft_uhigh,fp_low,fp_vlow,fp_ulow,ft_low,ft_vlow,ft_ulow,rp_high,rp_low,rt_high,rt_low,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call,EPS,PE,ADJEPS,ADJPE,EP1,EP4,HIGH50,HIGH100,HIGH200,dummy1,LOW50,LOW100,LOW200
2021-04-06,VOLCANO,0.7,0.705,0.48,0.485,0.485,104461400,0,0,0.485,0.485,0.0,0.0,0.0,,,0.485,0.485,0.485,0.485,0.4817,,,,,,-2.22,19.53,-15.81,0.42,-1.47,1.92,-12.34,27.45,3.0,11.0,19.0,5.0,7.0,7.0,18.0,18.0,,,,,,,,,,,,,,,,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,104461400,0.0,0.0,10446140000.0,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,,-1,-1,-1,-1,-1,-1,0,0,0,-,0,0,0
2021-04-07,VOLCANO,0.485,0.485,0.44,0.46,0.46,15473500,0,0,0.48115,0.48315,-0.00199,-0.0004,-0.0016,,,0.48308,0.48402,0.4845,0.48475,0.47577,,,,0.46,,-1.0,19.53,-15.81,0.42,-1.47,1.92,-12.34,27.45,2.0,11.0,19.0,5.0,7.0,7.0,18.0,18.0,-0.0,-0.025,,,,,,,,,,,,,,,,-0.0073,-0.0142,-0.0167,-0.0094,-0.0069,-0.0025,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,0.46,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-07,1999-01-01,1999-01-01,0,104461400,15473500,0.0,10446140000.0,14.81,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,-1,-1,-1,-1,-1,-1,0,0,0,-,0,0,0
2021-04-08,VOLCANO,0.46,0.475,0.45,0.465,0.465,9090400,0,0,0.47867,0.4818,-0.00314,-0.00095,-0.00219,,,0.48169,0.48327,0.48412,0.48455,0.47179,,,,,0.465,-0.17,19.53,-15.81,0.42,-1.47,1.92,-12.34,27.45,1.0,11.0,19.0,5.0,7.0,7.0,18.0,18.0,0.005,0.0,,,,,,,,,,,,,,,,-0.0128,-0.0243,-0.0286,-0.0158,-0.0115,-0.0043,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.465,0.0,0.0,0.46,0.0,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-07,1999-01-01,1999-01-01,104461400,15473500,9090400,10446140000.0,14.81,7.58,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,-1,-1,-1,-1,-1,-1,0,0,0,-,0,0,0
2021-04-09,VOLCANO,0.47,0.49,0.455,0.46,0.46,17471000,0,0,0.4758,0.48019,-0.00439,-0.00164,-0.00276,,,0.48002,0.48236,0.48364,0.48431,0.47084,0.471,,,,,19.57,-15.81,0.42,-1.47,1.92,-12.34,27.45,-5.24,11.0,19.0,5.0,7.0,7.0,18.0,18.0,9.0,-0.0,-0.005,,,,,,,,,,,,,,,,-0.0195,-0.0362,-0.0429,-0.0234,-0.0167,-0.0067,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.471,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-09,1999-01-01,1999-01-01,0.465,0.0,0.0,0.46,0.0,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-07,1999-01-01,1999-01-01,15473500,9090400,17471000,14.81,7.58,-67.42,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,-17471000.0,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,-1,-1,-1,-1,-1,-1,0,0,0,-,0,0,0
2021-04-12,VOLCANO,0.46,0.465,0.45,0.455,0.455,3152400,0,0,0.4726,0.47832,-0.00573,-0.00245,-0.00327,,,0.47809,0.48129,0.48307,0.48402,0.47362,,,-0.016,,,18.87,-15.81,0.42,-1.47,1.92,-12.34,27.45,-5.24,10.0,19.0,5.0,7.0,7.0,18.0,18.0,9.0,-0.0,-0.005,,,,,,,,,,,,,,,,-0.0273,-0.0498,-0.0593,-0.032,-0.0225,-0.0095,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.471,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-09,1999-01-01,1999-01-01,0.465,0.0,0.0,0.46,0.0,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-07,1999-01-01,1999-01-01,9090400,17471000,3152400,7.58,-67.42,-29.31,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,-1,-1,-1,-1,-1,-1,0,0,0,-,0,0,0
2021-04-13,VOLCANO,0.455,0.455,0.44,0.445,0.445,2860600,0,0,0.46835,0.47585,-0.0075,-0.00346,-0.00404,,,0.47555,0.47987,0.48232,0.48363,0.48018,,,-0.026,0.445,,17.25,-15.81,0.42,-1.47,1.92,-12.34,27.45,-5.24,9.0,19.0,5.0,7.0,7.0,18.0,18.0,9.0,-0.0,-0.01,,,,,,,,,,,,,,,,-0.0376,-0.0677,-0.0808,-0.0432,-0.0301,-0.0131,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.471,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-09,1999-01-01,1999-01-01,0.465,0.0,0.0,0.445,0.46,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-13,2021-04-07,1999-01-01,17471000,3152400,2860600,-67.42,-29.31,-20.97,0,0,0,0,0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,-1,-1,-1,-1,-1,-1,0,0,0,-,0,0,0
2021-04-14,VOLCANO,0.445,0.46,0.445,0.455,0.455,4343600,0,0,0.4663,0.47431,-0.00801,-0.00437,-0.00364,-0.008,,0.47397,0.47889,0.48178,0.48335,0.49002,,,-0.016,,,14.89,-15.81,0.42,-1.47,1.92,-12.34,27.45,-5.24,8.0,19.0,5.0,7.0,7.0,18.0,18.0,9.0,0.01,0.0,,,,,,,,,,,,15.22013,,,,-0.0446,-0.0781,-0.0938,-0.0492,-0.0335,-0.0157,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.471,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-09,1999-01-01,1999-01-01,0.465,0.0,0.0,0.445,0.46,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-13,2021-04-07,1999-01-01,3152400,2860600,4343600,-29.31,-20.97,-55.9,0,0,0,0,0,0.0,0.0,0.0,-0.008,100.0,100.0,0.0,0.0,0.0,-0.00437,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2021-04-14,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,-1,-1,-1,-1,-1,-1,0,0,0,-,0,0,0
2021-04-15,VOLCANO,0.455,0.5,0.455,0.48,0.48,11728000,0,0,0.46841,0.47473,-0.00633,-0.00476,-0.00156,,,0.47443,0.47893,0.48174,0.48331,0.50228,,,0.009,,,12.09,-15.81,0.42,-1.47,1.92,-12.34,27.45,-5.24,7.0,19.0,5.0,7.0,7.0,18.0,18.0,9.0,0.025,0.0,,,,,,,,,,,,35.55556,,,,-0.0438,-0.0731,-0.0888,-0.045,-0.0293,-0.0157,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.471,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-09,1999-01-01,1999-01-01,0.465,0.0,0.0,0.445,0.46,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-13,2021-04-07,1999-01-01,2860600,4343600,11728000,-20.97,-55.9,82.8,1,0,0,0,0,0.0,0.0,0.0,-0.008,100.0,100.0,0.0,0.0,0.0,-0.00437,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2021-04-14,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11728000.0,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,,-1,-1,-1,-1,-1,-1,0,0,0,-,0,0,0
2021-04-16,VOLCANO,0.485,0.535,0.48,0.525,0.525,19407000,0,0,0.47711,0.47845,-0.00134,-0.00408,0.00274,,,0.47832,0.48074,0.4826,0.48373,0.51583,,,0.054,,,9.14,-15.81,0.42,-1.47,1.92,-12.34,27.45,-5.24,6.0,19.0,5.0,7.0,7.0,18.0,18.0,9.0,0.045,0.0,,,,,,,,,,,,62.04678,37.60749,,,-0.0299,-0.0428,-0.0541,-0.0242,-0.0129,-0.0113,1,1,1,,,,,,,-0.15,,0.0,0.0,0.0,0.471,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-09,1999-01-01,1999-01-01,0.465,0.0,0.0,0.445,0.46,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-13,2021-04-07,1999-01-01,4343600,11728000,19407000,-55.9,82.8,87.4,1,0,0,0,0,0.0,0.0,0.0,-0.008,100.0,100.0,0.0,0.0,0.0,-0.00437,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2021-04-14,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,p2n,n2p,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,,,-1,-1,-1,-1,-1,-1,0,0,0,-,0,0,0
2021-04-19,VOLCANO,0.535,0.57,0.525,0.56,0.56,14488500,0,0,0.48986,0.4845,0.00537,-0.00219,0.00756,,,0.4846,0.48385,0.48413,0.48449,0.52943,,,0.089,,,6.34,-15.81,0.42,-1.47,1.92,-12.34,27.45,-5.24,5.0,19.0,5.0,7.0,7.0,18.0,18.0,9.0,0.035,0.0,,,,,,,,,,,,82.81601,60.13945,,,-0.0064,0.0075,0.0075,0.0139,0.0139,0.0,1,1,1,,,,,,,,-0.15,0.0,0.0,0.0,0.471,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-09,1999-01-01,1999-01-01,0.465,0.0,0.0,0.445,0.46,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-13,2021-04-07,1999-01-01,11728000,19407000,14488500,82.8,87.4,28.59,1,1,0,0,0,0.0,0.0,0.0,-0.008,100.0,100.0,0.0,0.0,0.0,-0.00437,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,2021-04-14,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,p2n,n2p,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.BearEnd,,,-1,-1,-1,-1,-1,-1,0,0,0,-,0,0,0
