Date,smooth_close,smooth_troughs,smooth_peaks,close_troughs,close_peaks,ma25,ma50,ma100,ma200,macd_short,macd_long,MACD,MACD_signal,smooth_macd,macd_distance,macd_troughs,macd_peaks,PnL1,PnL2,PnL3,PnL4,PnL5,PnL6,PnL7,PnL8,PnL1_days,PnL2_days,PnL3_days,PnL4_days,PnL5_days,PnL6_days,PnL7_days,PnL8_days,rsi_up_chg,rsi_down_chg,rsi_up_chg_avg,rsi_down_chg_avg,rsi_rs,RSI,smooth_rsi,rsi_troughs,rsi_peaks,rsi_distance,fastK,fastD,fast_troughs,fast_peaks,slowK,slowD,smooth_slowK,smooth_slowD,slow_troughs,slow_peaks,ATR,smooth_atr,atr_troughs,atr_peaks,dist_no25,dist_no200,dist_all4,all_no25,no200_no25,all_no200,all4_up,no25_up,no200_up,bull_start,bull,bull_retrace,bull_end,bear_start,bear,bear_recovery,bear_end,smooth_p1,smooth_p2,smooth_p3,smooth_t1,smooth_t2,smooth_t3,smooth_p1_date,smooth_p2_date,smooth_p3_date,smooth_t1_date,smooth_t2_date,smooth_t3_date,smooth_diff_0,smooth_diff_1,smooth_diff_2,smooth_diff_3,smooth_diff_4,smooth_diff_5,smooth_day_0,smooth_day_1,smooth_day_2,smooth_day_3,smooth_day_4,smooth_day_5,smooth_angle_0,smooth_angle_1,smooth_angle_2,smooth_angle_3,smooth_angle_4,smooth_angle_5,close_p1,close_p2,close_p3,close_t1,close_t2,close_t3,close_p1_date,close_p2_date,close_p3_date,close_t1_date,close_t2_date,close_t3_date,atr_p1,atr_p2,atr_p3,atr_t1,atr_t2,atr_t3,atr_p1_date,atr_p2_date,atr_p3_date,atr_t1_date,atr_t2_date,atr_t3_date,v3,v2,v1,v3p,v2p,v1p,macd_p1,macd_p2,macd_p3,macd_t1,macd_t2,macd_t3,macd_p1_signal,macd_p2_signal,macd_p3_signal,macd_t1_signal,macd_t2_signal,macd_t3_signal,slow_p1,slow_p2,slow_p3,slow_t1,slow_t2,slow_t3,fast_p1,fast_p2,fast_p3,fast_t1,fast_t2,fast_t3,rsi_p1,rsi_p2,rsi_p3,rsi_t1,rsi_t2,rsi_t3,macd_p1_date,macd_p2_date,macd_p3_date,macd_t1_date,macd_t2_date,macd_t3_date,macd_p1_days,macd_p2_days,macd_p3_days,macd_t1_days,macd_t2_days,macd_t3_days,slow_p1_date,slow_p2_date,slow_p3_date,slow_t1_date,slow_t2_date,slow_t3_date,fast_p1_date,fast_p2_date,fast_p3_date,fast_t1_date,fast_t2_date,fast_t3_date,rsi_p1_date,rsi_p2_date,rsi_p3_date,rsi_t1_date,rsi_t2_date,rsi_t3_date,minsmcp,maxsmcp,minsmct,maxsmct,mincp,maxcp,minct,maxct,minmp,maxmp,minmt,maxmt,minsp,maxsp,minst,maxst,minfp,maxfp,minft,maxft,minrp,maxrp,minrt,maxrt,minap,maxap,minat,maxat,mp_positives,mt_positives,vol_n2p,vol_p2p,vol_p2n,vol_n2n,vol_hist5,vol_hist4,vol_hist3,vol_hist2,vol_hist1,life5,life4,life3,life2,life1,buy_call,sell_call
2021-04-06,0.4817,,,,,0.485,0.485,0.485,0.485,0.485,0.485,0.0,0.0,-0.0,0.0,,,-2.22,19.53,-15.81,0.42,-1.47,1.92,-12.34,27.45,3.0,11.0,19.0,5.0,7.0,7.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,0.225,0.225,,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0,0,0,,,,,0.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,0.0,104461400.0,0.0,0.0,10446140000.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,,
2021-04-07,0.47577,,,0.46,,0.48308,0.48402,0.4845,0.48475,0.48115,0.48315,-0.00199,-0.0004,0.00057,-0.0016,,,-1.0,19.53,-15.81,0.42,-1.47,1.92,-12.34,27.45,2.0,11.0,19.0,5.0,7.0,7.0,18.0,18.0,-0.0,-0.025,,,,,,,,,,,,,,,,,,,0.21214,0.21749,,,-0.0073,-0.0142,-0.0167,-0.0094,-0.0069,-0.0025,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-07,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0.0,104461400.0,15473500.0,0.0,10446140000.0,14.81,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-04-08,0.47179,,,,0.465,0.48169,0.48327,0.48412,0.48455,0.47867,0.4818,-0.00314,-0.00095,0.00113,-0.00219,,,-0.17,19.53,-15.81,0.42,-1.47,1.92,-12.34,27.45,1.0,11.0,19.0,5.0,7.0,7.0,18.0,18.0,0.005,0.0,,,,,,,,,,,,,,,,,,,0.19878,0.21,,,-0.0128,-0.0243,-0.0286,-0.0158,-0.0115,-0.0043,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.0,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.46,0.0,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-07,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,104461400.0,15473500.0,9090400.0,10446140000.0,14.81,7.58,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-04-09,0.47084,0.471,,,,0.48002,0.48236,0.48364,0.48431,0.4758,0.48019,-0.00439,-0.00164,0.00168,-0.00276,,,19.57,-15.81,0.42,-1.47,1.92,-12.34,27.45,-5.24,11.0,19.0,5.0,7.0,7.0,18.0,18.0,9.0,-0.0,-0.005,,,,,,,,,,,,,,,,,,,0.18708,0.20255,,,-0.0195,-0.0362,-0.0429,-0.0234,-0.0167,-0.0067,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.471,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-09,1999-01-01,1999-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.46,0.0,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-07,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,15473500.0,9090400.0,17471000.0,14.81,7.58,-67.42,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,-17471000,,,,,,p2n,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-04-12,0.47362,,,,,0.47809,0.48129,0.48307,0.48402,0.4726,0.47832,-0.00573,-0.00245,0.0022,-0.00327,,,18.87,-15.81,0.42,-1.47,1.92,-12.34,27.45,-5.24,10.0,19.0,5.0,7.0,7.0,18.0,18.0,9.0,-0.0,-0.005,,,,,,,,,,,,,,,,,,,0.17479,0.19515,,,-0.0273,-0.0498,-0.0593,-0.032,-0.0225,-0.0095,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.471,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-09,1999-01-01,1999-01-01,0.56,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.46,0.0,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-07,1999-01-01,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,9090400.0,17471000.0,3152400.0,7.58,-67.42,-29.31,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,p2n,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-04-13,0.48018,,,0.445,,0.47555,0.47987,0.48232,0.48363,0.46835,0.47585,-0.0075,-0.00346,0.00269,-0.00404,,,17.25,-15.81,0.42,-1.47,1.92,-12.34,27.45,-5.24,9.0,19.0,5.0,7.0,7.0,18.0,18.0,9.0,-0.0,-0.01,,,,,,,,,,,,,,,,,,,0.16337,0.18782,,,-0.0376,-0.0677,-0.0808,-0.0432,-0.0301,-0.0131,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.471,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-09,1999-01-01,1999-01-01,1.95,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.445,0.46,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-13,2021-04-07,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,17471000.0,3152400.0,2860600.0,-67.42,-29.31,-20.97,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,p2n,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-04-14,0.49002,,,,,0.47397,0.47889,0.48178,0.48335,0.4663,0.47431,-0.00801,-0.00437,0.00314,-0.00364,,,14.89,-15.81,0.42,-1.47,1.92,-12.34,27.45,-5.24,8.0,19.0,5.0,7.0,7.0,18.0,18.0,9.0,0.01,0.0,,,,,,,,,,,,,15.22013,,,,,,0.15277,0.18059,,,-0.0446,-0.0781,-0.0938,-0.0492,-0.0335,-0.0157,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.471,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-09,1999-01-01,1999-01-01,4.04,,,,,,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.445,0.46,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-13,2021-04-07,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,3152400.0,2860600.0,4343600.0,-29.31,-20.97,-55.9,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,p2n,,,,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-04-15,0.50228,,,,,0.47443,0.47893,0.48174,0.48331,0.46841,0.47473,-0.00633,-0.00476,0.00355,-0.00156,,,12.09,-15.81,0.42,-1.47,1.92,-12.34,27.45,-5.24,7.0,19.0,5.0,7.0,7.0,18.0,18.0,9.0,0.025,0.0,,,,,,,,,,,,,35.55556,,,,,,0.14508,0.17346,,,-0.0438,-0.0731,-0.0888,-0.045,-0.0293,-0.0157,0,0,0,,,,,,-0.15,,,0.0,0.0,0.0,0.471,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-09,1999-01-01,1999-01-01,6.64,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.445,0.46,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-13,2021-04-07,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2860600.0,4343600.0,11728000.0,-20.97,-55.9,82.8,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11728000,,,,p2n,,,,n2p,Life.Empty,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,,
2021-04-16,0.51583,,,,,0.47832,0.48074,0.4826,0.48373,0.47711,0.47845,-0.00134,-0.00408,0.00391,0.00274,,,9.14,-15.81,0.42,-1.47,1.92,-12.34,27.45,-5.24,6.0,19.0,5.0,7.0,7.0,18.0,18.0,9.0,0.045,0.0,,,,,,,,,,,,,62.04678,37.60749,,,,,0.13864,0.16645,,,-0.0299,-0.0428,-0.0541,-0.0242,-0.0129,-0.0113,1,1,1,,,,,,,-0.15,,0.0,0.0,0.0,0.471,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-09,1999-01-01,1999-01-01,9.52,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.445,0.46,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-13,2021-04-07,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,4343600.0,11728000.0,19407000.0,-55.9,82.8,87.4,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,n2p,,Life.Empty,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,,
2021-04-19,0.52943,,,,,0.4846,0.48385,0.48413,0.48449,0.48986,0.4845,0.00537,-0.00219,0.00421,0.00756,,,6.34,-15.81,0.42,-1.47,1.92,-12.34,27.45,-5.24,5.0,19.0,5.0,7.0,7.0,18.0,18.0,9.0,0.035,0.0,,,,,,,,,,,,,82.81601,60.13945,,,,,0.13195,0.15957,,,-0.0064,0.0075,0.0075,0.0139,0.0139,0.0,1,1,1,,,,,,,,-0.15,0.0,0.0,0.0,0.471,0.0,0.0,1999-01-01,1999-01-01,1999-01-01,2021-04-09,1999-01-01,1999-01-01,12.41,,,,,,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.445,0.46,0.0,2021-04-08,1999-01-01,1999-01-01,2021-04-13,2021-04-07,1999-01-01,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,11728000.0,19407000.0,14488500.0,82.8,87.4,28.59,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,0,0,0,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,n2p,,,Life.Empty,Life.BearStart,Life.Bear,Life.BearRecovery,Life.BearEnd,,
